biblioteca,tamano_dataset,repeticion,operacion,segundos,pico_kb,extra
listas,1000,1,insertar,4.440000020622392e-05,8.703125,1000
listas,1000,1,buscar,1.83000001925393e-05,0.046875,OK
listas,1000,1,filtrar,6.79999998283165e-05,4.671875,OK
pandas,1000,1,insertar,0.0044781999999941036,140.8115234375,1000
pandas,1000,1,buscar,0.0011246000003666268,14.00390625,OK
pandas,1000,1,filtrar,0.001170699999875069,52.119140625,OK
sqlite,1000,1,insertar,0.0010557999999036838,79.109375,OK
sqlite,1000,1,buscar,4.96999996357772e-05,1.2646484375,OK
sqlite,1000,1,filtrar,0.0037772999999106105,326.890625,OK
listas,1000,2,insertar,3.370000013092067e-05,8.703125,1000
listas,1000,2,buscar,1.810000003388268e-05,0.046875,OK
listas,1000,2,filtrar,6.740000026184134e-05,4.671875,OK
pandas,1000,2,insertar,0.0042994000000362576,135.470703125,1000
pandas,1000,2,buscar,0.000801099999989674,9.74609375,OK
pandas,1000,2,filtrar,0.0012378999999782536,51.830078125,OK
sqlite,1000,2,insertar,0.000784000000294327,8.9375,OK
sqlite,1000,2,buscar,5.25000000379805e-05,1.2646484375,OK
sqlite,1000,2,filtrar,0.0037762000001748675,326.890625,OK
listas,1000,3,insertar,3.5799999750452116e-05,8.703125,1000
listas,1000,3,buscar,1.849999989644857e-05,0.046875,OK
listas,1000,3,filtrar,6.819999998697313e-05,4.671875,OK
pandas,1000,3,insertar,0.0038331999999172695,135.322265625,1000
pandas,1000,3,buscar,0.0007482999999410822,9.21484375,OK
pandas,1000,3,filtrar,0.0010995000002367306,51.689453125,OK
sqlite,1000,3,insertar,0.0006851000002825458,8.9375,OK
sqlite,1000,3,buscar,4.5900000259280205e-05,0.8896484375,OK
sqlite,1000,3,filtrar,0.003800299999966228,326.796875,OK
listas,1000,4,insertar,3.479999986666371e-05,8.703125,1000
listas,1000,4,buscar,1.8599999748403206e-05,0.046875,OK
listas,1000,4,filtrar,6.719999964843737e-05,4.109375,OK
pandas,1000,4,insertar,0.004165399999692454,135.197265625,1000
pandas,1000,4,buscar,0.0007428999997500796,9.09765625,OK
